t,Marker,v,V'O2,V'O2/kg,V'CO2,HF,V'E/V'O2,RER,AF,V'E,W,EU/kg,EU,EUKH,EUFett,V'O2_filtered
0 days 00:04:06,,-,3.21051003494512,43.2683293119288,2.85113300771848,-,25.0538696731951,0.888062325513716,27.9,84.4533,31.9718927832856,12.6577373384795,939.204110515179,570.099706660706,282.55162172038,3.293458058607895
0 days 00:04:07,,-,3.21051003494512,43.2683293119288,2.85113300771848,-,25.0538696731951,0.888062325513716,27.9,84.4533,32.2327828139843,12.6577373384795,939.204110515179,570.099706660706,282.55162172038,3.1429546117503335
0 days 00:04:08,,-,2.86290850333836,38.5836725517299,2.59987775448418,-,25.4164252595397,0.908124640187606,25.1,76.3793,32.4801215512343,11.3427870307945,841.634797684954,566.304457710193,198.148617051562,2.9551052698295326
0 days 00:04:09,,-,2.86290850333836,38.5836725517299,2.59987775448418,-,25.4164252595397,0.908124640187606,25.1,76.3793,32.7139089950357,11.3427870307945,841.634797684954,566.304457710193,198.148617051562,2.8412359820216357
0 days 00:04:10,,-,2.86290416214423,38.5836140450704,2.59987399395933,-,25.4164637999972,0.908124703696719,25.1,76.3793,32.947696263395,11.3427700067635,841.63353450185,566.30378237044,198.148146243331,2.80326126518805
0 days 00:04:11,,-,2.80234009572505,37.7673867348389,2.55765330047742,-,24.6630664512967,0.91268483235818,22.81,72.39894,33.1791377585936,11.115164837311,824.745230928478,567.212434088102,181.983949731705,2.8027867552810224
0 days 00:04:12,,-,2.80235915952331,37.7676436593438,2.55766995527778,-,24.6628986741858,0.912684566710872,22.81,72.39894,33.4082344279088,11.1152397323523,824.750788140543,567.2155419023,181.985885184822,2.8285406779231654
0 days 00:04:13,,-,2.80235915952331,37.7676436593438,2.55766995527778,-,24.6628986741858,0.912684566710872,22.81,72.39894,33.6373318690589,11.1152397323523,824.750788140543,567.2155419023,181.985885184822,2.8773113098805685
0 days 00:04:14,,-,2.98591424016805,40.2414318081947,2.70289880750759,-,24.5103389157892,0.905216489859892,24.29,76.68353,33.8737102128776,11.8217424171737,877.173287354291,581.877909619736,214.797518551016,2.916975501832101
0 days 00:04:15,,-,2.98591424016805,40.2414318081947,2.70289880750759,-,24.5103389157892,0.905216489859892,24.29,76.68353,34.117369459365,11.8217424171737,877.173287354291,581.877909619736,214.797518551016,2.923110131683136
0 days 00:04:16,,-,2.91134136040443,39.2364064744532,2.69579470766116,-,25.571855300973,0.92596311251068,26.78,78.30472,34.3585875127289,11.5848611437489,859.59669686617,628.264309727886,152.844953134869,2.9336687868843137
0 days 00:04:17,,-,2.91134136040443,39.2364064744532,2.69579470766116,-,25.571855300973,0.92596311251068,26.78,78.30472,34.5973643729695,11.5848611437489,859.59669686617,628.264309727886,152.844953134869,2.998416753152327
0 days 00:04:18,,-,3.03024593633216,40.8388940206491,2.76950416008544,-,25.4563100226015,0.913953592637326,29.12,81.33216,34.8406548762622,12.0228426797992,892.094926841098,617.219747895256,193.182172699076,3.0638725951759644
0 days 00:04:19,,-,3.03024593633216,40.8388940206491,2.76950416008544,-,25.4563100226015,0.913953592637326,29.12,81.33216,35.0884590226069,12.0228426797992,892.094926841098,617.219747895256,193.182172699076,2.9920405417454417
0 days 00:04:20,,-,3.03024593633216,40.8388940206491,2.76950416008544,-,25.4563100226015,0.913953592637326,29.12,81.33216,35.3362631689517,12.0228426797992,892.094926841098,617.219747895256,193.182172699076,2.7574340140913813
0 days 00:04:21,,-,2.34688238420166,31.6291426442273,2.03283998504814,-,22.8416261338275,0.866187414730477,20.61,56.57445,35.5550092906551,9.20319608387605,682.877149423603,364.964483958472,254.642593892961,2.559870935809387
0 days 00:04:22,,-,2.34688238420166,31.6291426442273,2.03283998504814,-,22.8416261338275,0.866187414730477,20.61,56.57445,35.7446973877172,9.20319608387605,682.877149423603,364.964483958472,254.642593892961,2.6299169147572377
0 days 00:04:23,,-,3.26865634645425,44.0519723241812,2.92100665210421,-,24.1791768919769,0.893641405672041,27.77,83.0323,35.9725305734436,12.9046063046632,957.521787806008,598.817479629606,270.583948001073,2.939855881773821
0 days 00:04:24,,-,3.26865634645425,44.0519723241812,2.92100665210421,-,24.1791768919769,0.893641405672041,27.77,83.0323,36.2385088478341,12.9046063046632,957.521787806008,598.817479629606,270.583948001073,3.2196347279207784
0 days 00:04:25,,-,3.13691397818919,42.2764687087492,2.79502436436057,-,25.1326305241913,0.89101084180001,28.7,82.9717,36.4990448539492,12.3765155825134,918.337456222491,566.359638919879,267.409125981815,3.265860907039055
0 days 00:04:26,,-,3.13691397818919,42.2764687087492,2.79502436436057,-,25.1326305241913,0.89101084180001,28.7,82.9717,36.7541385917888,12.3765155825134,918.337456222491,566.359638919879,267.409125981815,3.137822694586992
0 days 00:04:27,,-,3.04855891783258,41.0856997012477,2.81503031611189,-,26.7917898920153,0.923397051520094,30.15,86.01795,37.006623013261,12.1233204633081,899.550378377461,649.985802240652,167.377866559176,3.033682550946014
0 days 00:04:28,,-,3.04855891783258,41.0856997012477,2.81503031611189,-,26.7917898920153,0.923397051520094,30.15,86.01795,37.2564981183658,12.1233204633081,899.550378377461,649.985802240652,167.377866559176,3.055659120232711
0 days 00:04:29,,-,3.12694042350469,42.1420542251306,2.91106949717986,-,26.5656292571432,0.930964170374926,29.26,87.28258,37.5098211265696,12.4578878799163,924.37528068979,690.562537960754,149.512930463689,3.131432462923732
0 days 00:04:30,,-,3.12694042350469,42.1420542251306,2.91106949717986,-,26.5656292571432,0.930964170374926,29.26,87.28258,37.7665920378723,12.4578878799163,924.37528068979,690.562537960754,149.512930463689,3.1285730847757436
0 days 00:04:31,,-,3.1098704303802,41.9120004094366,2.94866263852476,-,28.7321906170464,0.948162537486897,37.03,94.68571,38.0231947103362,12.4415628173826,923.163961049792,740.736343468223,98.5879986748633,3.0169163441626656
0 days 00:04:32,,-,2.85213539322888,38.4384823885294,2.75362606144011,-,28.77352533643,0.965461200747119,33.51,86.89143,38.2694942810884,11.4581259887619,850.192948366134,729.108192036483,44.1934678365147,2.9116681784826346
